"date","horizon","model","csfe"
2016-08-01,"h = 3","MRF expanding",0.115176509619276
2016-09-01,"h = 3","MRF expanding",0.176853585811548
2016-10-01,"h = 3","MRF expanding",0.153099493623198
2016-11-01,"h = 3","MRF expanding",0.112713608036016
2016-12-01,"h = 3","MRF expanding",0.0665720424685727
2017-01-01,"h = 3","MRF expanding",0.086562661870114
2017-02-01,"h = 3","MRF expanding",0.0905175277948415
2017-03-01,"h = 3","MRF expanding",0.0624565674944364
2017-04-01,"h = 3","MRF expanding",0.00228902374654804
2017-05-01,"h = 3","MRF expanding",0.019741210767037
2017-06-01,"h = 3","MRF expanding",0.227175234927756
2017-07-01,"h = 3","MRF expanding",0.1954789041858
2017-08-01,"h = 3","MRF expanding",0.244298769101906
2017-09-01,"h = 3","MRF expanding",0.163831842628063
2017-10-01,"h = 3","MRF expanding",0.165345413926028
2017-11-01,"h = 3","MRF expanding",0.155837464667514
2017-12-01,"h = 3","MRF expanding",0.151612252109728
2018-01-01,"h = 3","MRF expanding",0.139803366852017
2018-02-01,"h = 3","MRF expanding",0.117716634120069
2018-03-01,"h = 3","MRF expanding",0.0689303433173705
2018-04-01,"h = 3","MRF expanding",0.022823573514761
2018-05-01,"h = 3","MRF expanding",0.0227631743540237
2018-06-01,"h = 3","MRF expanding",0.0583409474987928
2018-07-01,"h = 3","MRF expanding",0.0569181251090633
2018-08-01,"h = 3","MRF expanding",-0.106455805309685
2018-09-01,"h = 3","MRF expanding",-0.0424277922331117
2018-10-01,"h = 3","MRF expanding",-0.0475271288198546
2018-11-01,"h = 3","MRF expanding",-0.180009111335264
2018-12-01,"h = 3","MRF expanding",-0.323285768713275
2019-01-01,"h = 3","MRF expanding",-0.311334246841558
2019-02-01,"h = 3","MRF expanding",-0.283108991423819
2019-03-01,"h = 3","MRF expanding",-0.151648690407689
2019-04-01,"h = 3","MRF expanding",-0.136502995725748
2019-05-01,"h = 3","MRF expanding",-0.119885215702978
2019-06-01,"h = 3","MRF expanding",0.190071559454868
2019-07-01,"h = 3","MRF expanding",0.220143827575023
2019-08-01,"h = 3","MRF expanding",0.208730624910818
2019-09-01,"h = 3","MRF expanding",0.123691596978615
2019-10-01,"h = 3","MRF expanding",0.119416637071824
2019-11-01,"h = 3","MRF expanding",0.145825224336317
2019-12-01,"h = 3","MRF expanding",0.342864184772419
2020-01-01,"h = 3","MRF expanding",0.302100785140067
2020-02-01,"h = 3","MRF expanding",0.313286766275897
2020-03-01,"h = 3","MRF expanding",0.424039317525411
2020-04-01,"h = 3","MRF expanding",0.329010646979838
2020-05-01,"h = 3","MRF expanding",0.401881977613593
2020-06-01,"h = 3","MRF expanding",0.390919235128643
2020-07-01,"h = 3","MRF expanding",0.381676103049215
2020-08-01,"h = 3","MRF expanding",0.297001151396004
2020-09-01,"h = 3","MRF expanding",0.356347095910724
2020-10-01,"h = 3","MRF expanding",0.404266161579995
2020-11-01,"h = 3","MRF expanding",0.565751316647506
2020-12-01,"h = 3","MRF expanding",0.525483526720361
2021-01-01,"h = 3","MRF expanding",0.344336014388357
2021-02-01,"h = 3","MRF expanding",0.408578733762099
2021-03-01,"h = 3","MRF expanding",0.370307899365583
2021-04-01,"h = 3","MRF expanding",0.247628403576793
2021-05-01,"h = 3","MRF expanding",0.293675182988483
2021-06-01,"h = 3","MRF expanding",0.287474859079432
2021-07-01,"h = 3","MRF expanding",0.336675924240417
2021-08-01,"h = 3","MRF expanding",0.335166325268836
2021-09-01,"h = 3","MRF expanding",0.269852369626535
2021-10-01,"h = 3","MRF expanding",0.11942841289274
2021-11-01,"h = 3","MRF expanding",0.0948253688957513
2021-12-01,"h = 3","MRF expanding",0.0437456435146638
2022-01-01,"h = 3","MRF expanding",-0.00562611579820878
2022-02-01,"h = 3","MRF expanding",-0.066349775764212
2022-03-01,"h = 3","MRF expanding",-0.0906364423027404
2022-04-01,"h = 3","MRF expanding",0.139268552364604
2022-05-01,"h = 3","MRF expanding",0.151539087665526
2022-06-01,"h = 3","MRF expanding",0.113109098037554
2022-07-01,"h = 3","MRF expanding",0.403907459836837
2022-08-01,"h = 3","MRF expanding",0.651355794402468
2022-09-01,"h = 3","MRF expanding",0.942576062344745
2022-10-01,"h = 3","MRF expanding",1.00891997603593
2022-11-01,"h = 3","MRF expanding",1.02277640284496
2022-12-01,"h = 3","MRF expanding",1.06198760502407
2023-01-01,"h = 3","MRF expanding",1.05240592197176
2023-02-01,"h = 3","MRF expanding",0.994587413131242
2023-03-01,"h = 3","MRF expanding",0.980417242118842
2023-04-01,"h = 3","MRF expanding",0.973194177380419
2023-05-01,"h = 3","MRF expanding",1.0168619170416
2023-06-01,"h = 3","MRF expanding",1.28171379317235
2023-07-01,"h = 3","MRF expanding",1.25421848255403
2023-08-01,"h = 3","MRF expanding",1.26502644695757
2023-09-01,"h = 3","MRF expanding",1.26509730084097
2023-10-01,"h = 3","MRF expanding",1.28248433495522
2023-11-01,"h = 3","MRF expanding",1.30232380460904
2023-12-01,"h = 3","MRF expanding",1.29201793050302
2024-01-01,"h = 3","MRF expanding",1.29177715120376
2024-02-01,"h = 3","MRF expanding",1.23098646842714
2024-03-01,"h = 3","MRF expanding",1.28232077809187
2024-04-01,"h = 3","MRF expanding",1.27616534815816
2024-05-01,"h = 3","MRF expanding",1.27851800568639
2024-06-01,"h = 3","MRF expanding",1.29807268505269
2024-07-01,"h = 3","MRF expanding",1.29910501060717
2024-08-01,"h = 3","MRF expanding",1.29115907976712
2024-09-01,"h = 3","MRF expanding",1.29028153189575
2024-10-01,"h = 3","MRF expanding",1.28291549752255
2024-11-01,"h = 3","MRF expanding",1.28364141790076
2024-12-01,"h = 3","MRF expanding",1.28397727043346
2025-01-01,"h = 3","MRF expanding",1.23222455988287
2025-02-01,"h = 3","MRF expanding",1.36185061848543
2025-03-01,"h = 3","MRF expanding",1.36728645986291
2025-04-01,"h = 3","MRF expanding",1.35740219605965
2025-05-01,"h = 3","MRF expanding",1.4746243882169
2025-06-01,"h = 3","MRF expanding",1.52392713039213
2025-07-01,"h = 3","MRF expanding",1.54185612673549
2025-08-01,"h = 3","MRF expanding",1.48646650399485
2025-09-01,"h = 3","MRF expanding",1.46466045924929
2025-10-01,"h = 3","MRF expanding",1.51335679887942
2025-11-01,"h = 3","MRF expanding",1.47720833704064
2025-12-01,"h = 3","MRF expanding",1.49449417711797
2016-06-01,"h = 6","MRF fixed",0.0566296565224167
2016-07-01,"h = 6","MRF fixed",0.0565223455789788
2016-08-01,"h = 6","MRF fixed",0.0754724721273576
2016-09-01,"h = 6","MRF fixed",-0.0799466624831557
2016-10-01,"h = 6","MRF fixed",0.0359976332300494
2016-11-01,"h = 6","MRF fixed",0.177088260797469
2016-12-01,"h = 6","MRF fixed",0.232323863385276
2017-01-01,"h = 6","MRF fixed",0.211370166877542
2017-02-01,"h = 6","MRF fixed",0.181384709284856
